#鑲嵌槽等級,等級
#技能名稱,需要裝飾珠,擁有裝飾珠
鑲嵌槽等級,3
耳塞,5,0
毒瓶追加,1,0
麻痺瓶追加,1,0
睡眠瓶追加,1,0
爆破瓶追加,1,0
屬性解放裝填擴充,3,0
匠,5,0
減輕膽怯,3,0
通常彈通常箭強化,1,0
散彈剛射強化,1,0
龍封力強化,1,0
貫通彈龍之箭強化,1,0
#以下是沒有裝飾品的技能
察覺,1,0
導蟲反應距離UP,1,0
蜂蜜獵人,1,0
探索者的幸運,1,0
採集達人,1,0
加速再生,1,0
利刃彈藥節約,1,0
泥耐性,1,0
拔刀術力,1,0
研究者,1,0
飛身躍入,1,0
閃光強化,1,0
剝取鐵人,1,0
烤肉名人,1,0
異臭名人,1,0
釣魚名人,1,0
搬運達人,1,0
跳躍鐵人,1,0
適應瘴氣環境,1,0
熱傷害無效,1,0
騎乘名人,1,0
攀岩者,1,0
蹲下移動速度UP,1,0

鑲嵌槽等級,2
風壓耐性,5,0
耐震,3,0
超會心,3,0
弱點特效,3,0
集中,3,0
破壞王,3,0
KO術,3,0
飛燕,1,0
力量解放,5,0
無傷,3,0
火場怪力,5,0
怨恨,5,0
砲彈裝填數UP,1,0
體術,5,0
耐力急速回復,3,0
迴避性能,5,0
迴避距離UP,3,0
精神抖擻,3,0
滑走強化,1,0
強化持續,3,0
解放弓的蓄力階段,1,0
心眼彈道強化,1,0
剛刃研磨,1,0
無屬性強化,1,0
防禦強化,1,0
挑戰者,5,0
拔刀術技,3,0
跑者,3,0

鑲嵌槽等級,1
毒耐性,3,0
麻痺耐性,3,0
睡眠耐性,3,0
昏厥耐性,3,0
爆破異常狀態的耐性,3,0
裂傷耐性,3,0
防禦力DOWN耐性,3,0
攻擊,7,0
防禦,7,0
體力增強,3,0
回復速度,3,0
火耐性,3,0
水耐性,3,0
冰耐性,3,0
雷耐性,3,0
龍耐性,3,0
屬性異常狀態的耐性,3,0
火屬性攻擊強化,5,0
水屬性攻擊強化,5,0
冰屬性攻擊強化,5,0
雷屬性攻擊強化,5,0
龍屬性攻擊強化,5,0
毒屬性強化,3,0
麻痺屬性強化,3,0
睡眠屬性強化,3,0
爆破屬性強化,3,0
看破,7,0
奪取耐力,3,0
不屈,1,0
吹笛名人,1,0
特殊射擊強化,2,0
砲術,3,0
砲擊手,2,0
飢餓耐性,3,0
防禦性能,5,0
收刀術,3,0
廣域化,5,0
道具使用強化,3,0
滿足感,1,0
快吃,3,0
砥石使用高速化,3,0
炸彈客,3,0
最愛菇類,3,0
精靈加護,3,0
指示隨從,5,0
植生學,4,0
地質學,3,0
投射器裝填數UP,3,0
潛伏,3,0
棉花孢子草的知識,3,0
適應水場,3,0
昆蟲標本達人,3,0
追蹤達人,1,0
威嚇,3,0
體力回復量UP,3,0
死裡逃生,1,0
整備,3,0
瘴氣耐性,3,0
