#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
武器：
#大劍
龍熱機關式鋼翼改;0;+0,+0,+0,+0,+0;0,0,2;(無)
塊劍拉多巴爾喀III;0;+0,+0,+0,+0,+0;0,0,0;(無)
鎧羅炎水;0;+0,+0,+0,+0,+0;1,0,0;(無)
#單手劍
冥燈龍劍;0;+0,+0,+0,+0,+0;2,0,0;(無)
#雙劍
皇后小刀滅盡;0;+0,+0,+0,+0,+0;0,2,0;(無),加速再生,1
冰炎劍維爾瑪閃焰;0;+0,+0,+0,+0,+0;0,1,0;(無)
迅雷;0;+0,+0,+0,+0,+0;0,0,0;(無)
封龍劍超絕一門;0;+0,+0,+0,+0,+0;0,0,2;(無)
鉻鋼雙刀II;0;+0,+0,+0,+0,+0;0,0,2;(無)
黑色收割者III;0;+0,+0,+0,+0,+0;0,1,0;(無)
殘滅之爪;0;+0,+0,+0,+0,+0;0,0,1;(無)
#狩獵笛
皇后鼓滅盡;0;+0,+0,+0,+0,+0;0,1,0;(無),加速再生,1
皇后鼓滅盡(鑲嵌槽強化I);0;+0,+0,+0,+0,+0;0,1,1;(無),加速再生,1
爆鱗鼓赤紅星光;0;+0,+0,+0,+0,+0;0,2,0;(無)
曼陀羅號角III;0;+0,+0,+0,+0,+0;0,1,1;(無)
曼陀羅號角III(鑲嵌槽強化III);0;+0,+0,+0,+0,+0;1,1,1;(無)
#長槍
死神的哀愁;0;+0,+0,+0,+0,+0;0,1,0;(無)
亡滅之腕;0;+0,+0,+0,+0,+0;0,0,1;(無)

#斬擊斧
##190,0%,睡眠(屬性解放)
鎧羅劍斧睡眠;0;+0,+0,+0,+0,+0;1,0,0;(無)
##210,10%,火
鎧羅劍斧爆鎚;0;+0,+0,+0,+0,+0;0,0,0;(無)
##210,-20%,麻痺
鎧羅劍斧土砂;0;+0,+0,+0,+0,+0;0,0,0;(無)
##190,0%,睡眠
鎧羅劍斧賊;0;+0,+0,+0,+0,+0;0,0,0;(無)
##190,0%,睡眠(屬性解放)
凶豺龍掠奪者III;0;+0,+0,+0,+0,+0;1,1,0;(無)
##210,-20%,麻痺(屬性解放)
土砂龍劍斧III;0;+0,+0,+0,+0,+0;0,1,1;(無)
##230,-30%,冰(屬性解放)
惡靈;0;+0,+0,+0,+0,+0;0,0,1;(無)


#輕弩槍
鎧羅迅擊弩蠻顎;0;+0,+0,+0,+0,+0;0,0,0;(無)
鉻鋼迅擊弩II;0;+0,+0,+0,+0,+0;0,0,2;(無)
瘋狂的悲嘆;0;+0,+0,+0,+0,+0;0,0,0;(無)
#重弩槍
鎧羅突擊弩賊;0;+0,+0,+0,+0,+0;0,0,0;(無)
黑暗左右;0;+0,+0,+0,+0,+0;0,0,0;(無)
#弓
角王弓疾風;0;+0,+0,+0,+0,+0;0,0,2;(無)
