#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 105裝備
腕：
皮製手套α;70;+2,+0,+0,+0,+0;0,0,0;(無),回復速度,1
皮製手套β;70;+2,+0,+0,+0,+0;0,0,1;(無)
鎖甲手套α;70;+0,+2,+0,+0,+0;0,0,0;(無),回復速度,1
鎖甲手套β;70;+0,+2,+0,+0,+0;0,0,1;(無)
獵人腕甲α;74;+2,+2,+0,+0,+0;0,0,0;(無),潛伏,2
獵人腕甲β;74;+2,+2,+0,+0,+0;0,0,1;(無),潛伏,1
骨製腕甲α;74;+2,+0,+2,+0,+2;0,0,0;(無),KO術,1,攻擊,1
骨製腕甲β;74;+2,+0,+2,+0,+2;0,0,1;(無),KO術,1
合金腕甲α;74;-2,+0,-2,-2,+0;0,0,0;(無),防禦,1,砥石使用高速化,1
合金腕甲β;74;-2,+0,-2,-2,+0;0,0,1;(無),防禦,1
燕尾蝶護袖α;80;-1,-1,+2,+0,+2;0,0,1;(無),植生學,2,飛身躍入,1
燕尾蝶護袖β;80;-1,-1,+2,+0,+2;0,1,1;(無),植生學,2
巨蜂腕甲α;76;-2,+1,+1,+1,+2;0,0,0;(無),麻痺屬性強化,2
巨蜂腕甲β;76;-2,+1,+1,+1,+2;0,0,1;(無),麻痺屬性強化,1
巨甲蟲腕甲α;76;-1,-1,+0,+0,+2;0,0,0;(無),滿足感,1,飢餓耐性,1
巨甲蟲腕甲β;76;-1,-1,+0,+0,+2;0,0,1;(無),滿足感,1
冠突龍護手α;78;+4,+0,+0,+0,+0;0,0,0;(無),滑走強化,1,集中,1
冠突龍護手β;78;+4,+0,+0,+0,+0;0,0,1;(無),滑走強化,1
凶豺龍腕甲α;78;-2,+2,-1,-1,+1;0,0,0;(無),指示隨從,1,威嚇,1
凶豺龍腕甲β;78;-2,+2,-1,-1,+1;0,0,1;(無),指示隨從,1
搔鳥腕甲α;78;+0,-3,+0,+1,+0;0,0,0;(無),搬運達人,1,看破,1
搔鳥腕甲β;78;+0,-3,+0,+1,+0;0,1,0;(無),搬運達人,1
眩鳥腕甲α;78;+0,+0,-3,-2,+0;0,0,0;(無),昏厥耐性,2,廣域化,1
眩鳥腕甲β;78;+0,+0,-3,-2,+0;0,0,1;(無),昏厥耐性,2
凶顎龍腕甲α;78;+0,-3,+2,+0,+1;0,0,0;(無),指示隨從,2
凶顎龍腕甲β;78;+0,-3,+2,+0,+1;0,0,1;(無),指示隨從,1
毒妖鳥腕甲α;80;+0,+3,-3,+0,+1;0,0,0;(無),毒耐性,2,毒屬性強化,1
毒妖鳥腕甲β;80;+0,+3,-3,+0,+1;0,0,2;(無),毒耐性,1
土砂龍腕甲α;80;-3,-1,+3,-1,+0;0,0,0;(無),跑者,1,奪取耐力,1
