#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 108裝備
腰：
皮製皮帶α;70;+2,+0,+0,+0,+0;0,0,0;(無),耐力急速回復,1
皮製皮帶β;70;+2,+0,+0,+0,+0;0,0,1;(無)
鎖甲皮帶α;70;+0,+2,+0,+0,+0;0,0,0;(無),收刀術,1
鎖甲皮帶β;70;+0,+2,+0,+0,+0;0,0,1;(無)
獵人腰甲α;74;+2,+2,+0,+0,+0;0,0,0;(無),採集達人,1,潛伏,1
獵人腰甲β;74;+2,+2,+0,+0,+0;0,0,1;(無),採集達人,1
骨製腰甲α;74;+2,+0,+2,+0,+2;0,0,0;(無),吹笛名人,1,釣魚名人,1
骨製腰甲β;74;+2,+0,+2,+0,+2;0,0,1;(無),吹笛名人,1
合金腰甲α;74;-2,+0,-2,-2,+0;0,0,0;(無),毒耐性,1,水耐性,1
合金腰甲β;74;-2,+0,-2,-2,+0;0,0,1;(無),毒耐性,1
燕尾蝶腰具α;80;-1,-1,+2,+0,+2;0,0,1;(無),蜂蜜獵人,1,收刀術,1
燕尾蝶腰具β;80;-1,-1,+2,+0,+2;0,1,1;(無),蜂蜜獵人,1
巨蜂腰甲α;76;-2,+1,+1,+1,+2;0,0,0;(無),麻痺耐性,2
巨蜂腰甲β;76;-2,+1,+1,+1,+2;0,0,1;(無),麻痺耐性,1
巨甲蟲腰甲α;76;-1,-1,+0,+0,+2;0,0,0;(無),剝取鐵人,1,飢餓耐性,1
巨甲蟲腰甲β;76;-1,-1,+0,+0,+2;0,0,1;(無),剝取鐵人,1
凶豺龍腰甲α;78;-2,+2,-1,-1,+1;0,0,0;(無),不屈,1,快吃,1
凶豺龍腰甲β;78;-2,+2,-1,-1,+1;0,0,1;(無),不屈,1
搔鳥腰甲α;78;+0,-3,+0,+1,+0;0,0,0;(無),道具使用強化,2
搔鳥腰甲β;78;+0,-3,+0,+1,+0;0,1,0;(無),道具使用強化,1
眩鳥腰甲α;78;+0,+0,-3,-2,+0;0,0,0;(無),廣域化,2,水屬性攻擊強化,1
眩鳥腰甲β;78;+0,+0,-3,-2,+0;0,1,0;(無),廣域化,1
凶顎龍腰甲α;78;+0,-3,+2,+0,+1;0,0,0;(無),適應瘴氣環境,1,麻痺屬性強化,1
凶顎龍腰甲β;78;+0,-3,+2,+0,+1;0,0,1;(無),適應瘴氣環境,1
毒妖鳥腰甲α;80;+0,+3,-3,+0,+1;0,0,0;(無),毒屬性強化,2
毒妖鳥腰甲β;80;+0,+3,-3,+0,+1;0,0,1;(無),毒屬性強化,1
土砂龍腰甲α;80;-3,-1,+3,-1,+0;0,0,0;(無),泥耐性,1,防禦性能,1
土砂龍腰甲β;80;-3,-1,+3,-1,+0;0,1,0;(無),泥耐性,1
蠻顎龍腰甲α;82;+3,-3,-1,-1,+0;0,0,0;蠻顎龍之鬥志,火耐性,2,砲術,1
蠻顎龍腰甲β;82;+3,-3,-1,-1,+0;0,1,0;蠻顎龍之鬥志,火耐性,2
泥魚龍腰甲α;82;-1,+2,-3,+0,+0;0,0,0;(無),冰耐性,2
泥魚龍腰甲β;82;-1,+2,-3,+0,+0;0,0,1;(無),冰耐性,1
飛雷龍腰甲α;82;+0,-3,+3,+0,+0;0,0,0;(無),雷屬性攻擊強化,2,雷耐性,1
飛雷龍腰甲β;82;+0,-3,+3,+0,+0;0,0,2;(無),雷屬性攻擊強化,1
浮空龍腰甲α;82;-3,+2,+0,+1,+0;0,0,0;(無),精靈加護,2
浮空龍腰甲β;82;-3,+2,+0,+1,+0;0,0,1;(無),精靈加護,1
雌火龍腰甲α;84;+2,+0,-2,+0,-3;0,0,0;(無),毒耐性,2,體力增強,1
雌火龍腰甲β;84;+2,+0,-2,+0,-3;0,0,1;(無),毒耐性,1,體力增強,1
火龍心腰甲α;84;+3,+0,-3,+0,-4;0,0,0;櫻火龍之奧祕,匠,1,毒耐性,1
火龍心腰甲β;84;+3,+0,-3,+0,-4;0,0,1;櫻火龍之奧祕,匠,1
骨鎚龍腰甲α;78;+0,+2,+0,-1,-2;0,0,0;(無),防禦性能,2
骨鎚龍腰甲β;78;+0,+2,+0,-1,-2;0,1,0;(無),防禦性能,1
岩賊龍腰甲α;86;+2,+0,-3,+0,+2;0,0,0;(無),砲術,2,爆破異常狀態的耐性,1
岩賊龍腰甲β;86;+2,+0,-3,+0,+2;0,0,1;(無),砲術,2
鑄島熔岩脊椎α;76;+4,-3,-1,-2,-3;0,0,0;熔山龍的奧祕,不屈,1,耐震,1
鑄島熔岩脊椎β;76;+4,-3,-1,-2,-3;0,1,0;熔山龍的奧祕,不屈,1
礦石腰甲α;82;+0,-1,-2,+3,+0;0,0,0;(無),砲彈裝填數UP,2,防禦,1
礦石腰甲β;82;+0,-1,-2,+3,+0;0,0,1;(無),砲彈裝填數UP,1
鑄鐵腰甲α;82;-2,+0,+3,-1,+0;0,0,0;(無),風壓耐性,2
鑄鐵腰甲β;82;-2,+0,+3,-1,+0;1,0,0;(無),風壓耐性,1
旅團腰甲α;84;+1,+0,+2,+0,+2;0,0,0;(無),地質學,2,回復速度,1
旅團腰甲β;84;+1,+0,+2,+0,+2;0,0,1;(無),地質學,2
熔岩龍腰甲α;88;+3,-3,+1,-2,+2;0,0,0;(無),收刀術,2,體力回復量UP,1
熔岩龍腰甲β;88;+3,-3,+1,-2,+2;0,0,1;(無),收刀術,2
風漂龍腰甲α;86;-1,+2,-3,+3,+0;0,0,0;風漂龍的恩寵,冰屬性攻擊強化,2,風壓耐性,1
風漂龍腰甲β;86;-1,+2,-3,+3,+0;0,1,0;風漂龍的恩寵,冰屬性攻擊強化,2
慘爪龍腰甲α;86;+2,+2,-2,-3,+0;0,0,0;慘爪龍的奧秘,看破,2,砥石使用高速化,1
慘爪龍腰甲β;86;+2,+2,-2,-3,+0;0,1,0;慘爪龍的奧秘,看破,2
火龍腰甲α;86;+3,+1,-2,+1,-3;0,0,0;火龍奧秘,火屬性攻擊強化,2,集中,1
火龍腰甲β;86;+3,+1,-2,+1,-3;0,1,0;火龍奧秘,火屬性攻擊強化,2
火龍魂腰甲α;82;+3,+2,+2,-3,-4;0,0,0;火龍奧秘,風壓耐性,2,貫通彈龍之箭強化,1
火龍魂腰甲β;82;+3,+2,+2,-3,-4;1,0,0;火龍奧秘,風壓耐性,2
角龍腰甲α;86;+3,-2,+0,-3,+2;0,0,0;角龍之奧秘,跑者,2,拔刀術技,1
角龍腰甲β;86;+3,-2,+0,-3,+2;0,1,0;角龍之奧秘,跑者,2
暴君角龍腰甲α;82;+2,-3,+0,-4,+2;0,0,0;角龍之奧秘,怨恨,1,破壞王,1
暴君角龍腰甲β;82;+2,-3,+0,-4,+2;0,1,0;角龍之奧秘,怨恨,1
爆鎚龍腰甲α;86;+4,-3,+1,-2,-2;0,0,2;爆鎚龍之守護,破壞王,1,雷耐性,1
爆鎚龍腰甲β;86;+4,-3,+1,-2,-2;0,1,1;爆鎚龍之守護,破壞王,1
爆鱗龍腰甲α;84;+3,+1,-4,-2,-2;0,0,1;爆鱗龍之守護,耳塞,2,跳躍鐵人,1
爆鱗龍腰甲β;84;+3,+1,-4,-2,-2;1,0,0;爆鱗龍之守護,耳塞,2
大馬士革腰甲α;86;+4,-2,+0,+0,+0;0,0,1;(無),集中,1,防禦力DOWN耐性,2
大馬士革腰甲β;86;+4,-2,+0,+0,+0;0,0,3;(無),集中,1
杜賓腰甲α;86;-2,+0,-1,-1,+4;0,1,0;(無),龍耐性,2,攻擊,1
杜賓腰甲β;86;-2,+0,-1,-1,+4;1,0,0;(無),龍耐性,2
死神臍帶α;88;+3,+2,-2,+3,-4;0,0,0;(無),龍屬性攻擊強化,2,集中,1
死神臍帶β;88;+3,+2,-2,+3,-4;0,0,2;(無),龍屬性攻擊強化,2
戰紋腰甲α;84;+1,+1,-3,+1,-3;0,0,0;滅盡龍之飢餓,攻擊,2,耐力急速回復,1
戰紋腰甲β;84;+1,+1,-3,+1,-3;0,1,0;滅盡龍之飢餓,攻擊,2
帝王腰甲α;84;+3,-3,+1,-3,+1;0,0,0;炎王龍之武技,爆破屬性強化,2,弱點特效,1
帝王腰甲β;84;+3,-3,+1,-3,+1;0,1,0;炎王龍之武技,爆破屬性強化,2
鋼龍安穩α;84;+0,+2,-3,+4,-2;0,0,0;鋼龍的飛翔,冰屬性攻擊強化,2,迴避距離UP,1
鋼龍安穩β;84;+0,+2,-3,+4,-2;0,0,2;鋼龍的飛翔,冰屬性攻擊強化,2
烏爾德腰甲α;84;-4,+4,+1,-1,-3;0,0,1;屍套龍之命脈,無傷,1,瘴氣耐性,1
烏爾德腰甲β;84;-4,+4,+1,-1,-3;0,0,2;屍套龍之命脈,無傷,1
麒麟環腰α;84;-3,-2,+4,-2,+2;0,0,0;麒麟的恩寵,屬性異常狀態的耐性,1,屬性解放裝填擴充,1
麒麟環腰β;84;-3,-2,+4,-2,+2;0,0,3;麒麟的恩寵,屬性異常狀態的耐性,1
冥燈幽火脊椎α;92;-3,+2,+2,+2,-4;0,1,0;冥燈龍的神秘,屬性異常狀態的耐性,2,特殊射擊強化,1
冥燈幽火脊椎β;92;-3,+2,+2,+2,-4;0,1,1;冥燈龍的神秘,屬性異常狀態的耐性,2
公會十字腰甲α;82;+0,+0,+0,+0,+0;0,0,1;公會的指引,不屈,1,龍耐性,2
公會十字腰甲β;82;+0,+0,+0,+0,+0;0,0,3;公會的指引,不屈,1
追蹤者皮帶α;90;+2,+2,+2,+2,+2;0,0,1;調查團的指引,最愛菇類,1,搬運達人,1
追蹤者皮帶β;90;+2,+2,+2,+2,+2;0,1,0;調查團的指引,最愛菇類,1
殘虐腰甲α;84;+1,+1,-3,+2,-3;0,0,1;(無),力量解放,1,匠,1
殘虐腰甲β;84;+1,+1,-3,+2,-3;1,0,1;(無),力量解放,1
絢輝龍鎧羅腰甲α;92;+4,-2,+3,-4,-2;0,0,1;(無),屬性解放裝填擴充,1,匠,2
絢輝龍鎧羅腰甲β;92;+4,-2,+3,-4,-2;1,0,1;(無),屬性解放裝填擴充,1,匠,1
皇后腰甲α;90;+3,+1,+1,-3,-2;0,1,1;炎妃龍的恩寵,整備,2,爆破屬性強化,1
皇后腰甲β;90;+3,+1,+1,-3,-2;0,2,0;炎妃龍的恩寵,整備,2
收穫護裙α;84;+4,+1,+1,+1,+1;0,1,1;(無),體術,1
獵戶星風衣α;90;+1,+1,+1,+4,+1;1,0,1;(無),體力增強,1
盛裝護裙α;84;+1,+1,+1,+1,+4;1,0,2;星辰的祝福,投射器裝填數UP,1
獨角仙后護腰具α;80;-1,-1,+2,+0,+2;0,0,1;(無),防禦,2,跑者,1
獨角仙后護腰具β;80;-1,-1,+2,+0,+2;1,0,0;(無),看破,2
烏爾德腰甲γ;92;-4,+4,+1,-1,-3;0,1,2;屍套龍之命脈,回復速度,2,龍屬性攻擊強化,1
麒麟環腰γ;92;-3,-2,+4,-2,+2;0,0,2;麒麟的恩寵,跑者,2
帝王腰甲γ;92;+3,-3,+1,-3,+1;0,0,2;炎王龍之武技,力量解放,3
蒼星之將腰帶α;82;+2,+2,+0,+0,+3;0,1,0;火龍奧秘,匠,1
但丁皮帶α;84;+3,-3,+3,-3,+3;1,0,0;(無),迴避性能,1,力量解放,1
騰龍腰甲α;92;-2,-2,+3,-2,+4;1,0,0;龍騎士之證,看破,2,強化持續,1
