#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 109裝備
腳：
皮製長褲α;70;+2,+0,+0,+0,+0;0,0,0;(無),攀岩者,1
皮製長褲β;70;+2,+0,+0,+0,+0;0,0,1;(無)
鎖甲長褲α;70;+0,+2,+0,+0,+0;0,0,0;(無),體力回復量UP,1
鎖甲長褲β;70;+0,+2,+0,+0,+0;0,0,1;(無)
獵人護腿α;74;+2,+2,+0,+0,+0;0,0,0;(無),追蹤達人,1,投射器裝填數UP,1
獵人護腿β;74;+2,+2,+0,+0,+0;0,0,1;(無),追蹤達人,1
骨製護腿α;74;+2,+0,+2,+0,+2;0,0,0;(無),昆蟲標本達人,2
骨製護腿β;74;+2,+0,+2,+0,+2;0,0,1;(無),昆蟲標本達人,1
合金護腿α;74;-2,+0,-2,-2,+0;0,0,0;(無),砥石使用高速化,2
合金護腿β;74;-2,+0,-2,-2,+0;0,0,1;(無),砥石使用高速化,1
燕尾蝶腳α;80;-1,-1,+2,+0,+2;0,0,1;(無),探索者的幸運,1,迴避性能,1
燕尾蝶腳β;80;-1,-1,+2,+0,+2;0,1,1;(無),探索者的幸運,1
巨蜂護腿α;76;-2,+1,+1,+1,+2;0,0,0;(無),蜂蜜獵人,1,麻痺耐性,1
巨蜂護腿β;76;-2,+1,+1,+1,+2;0,0,1;(無),蜂蜜獵人,1
巨甲蟲護腿α;76;-1,-1,+0,+0,+2;0,0,0;(無),匠,1,龍屬性攻擊強化,1
巨甲蟲護腿β;76;-1,-1,+0,+0,+2;0,0,1;(無),匠,1
咬魚靴α;78;+0,+5,+0,+0,+0,;0,0,0;(無),適應水場,2,水屬性攻擊強化,1
咬魚靴β;78;+0,+5,+0,+0,+0,;0,0,1;(無),適應水場,1,水屬性攻擊強化,1
凶豺龍護腿α;78;-2,+2,-1,-1,+1;0,0,0;(無),蹲下移動速度UP,1,滿足感,1
凶豺龍護腿β;78;-2,+2,-1,-1,+1;0,0,1;(無),蹲下移動速度UP,1
搔鳥護腿α;78;+0,-3,+0,+1,+0;0,0,0;(無),看破,1,道具使用強化,1
搔鳥護腿β;78;+0,-3,+0,+1,+0;0,0,1;(無),看破,1
眩鳥護腿α;78;+0,+0,-3,-2,+0;0,0,0;(無),睡眠耐性,2
眩鳥護腿β;78;+0,+0,-3,-2,+0;0,0,1;(無),睡眠耐性,1
凶顎龍護腿α;78;+0,-3,+2,+0,+1;0,0,0;(無),麻痺屬性強化,2
凶顎龍護腿β;78;+0,-3,+2,+0,+1;0,0,1;(無),麻痺屬性強化,1
毒妖鳥護腿α;80;+0,+3,-3,+0,+1;0,0,0;(無),植生學,2,棉花孢子草的知識,1
毒妖鳥護腿β;80;+0,+3,-3,+0,+1;0,1,0;(無),植生學,1
土砂龍護腿α;80;-3,-1,+3,-1,+0;0,0,0;(無),昏厥耐性,2,跑者,1
土砂龍護腿β;80;-3,-1,+3,-1,+0;0,0,2;(無),昏厥耐性,1
蠻顎龍護腿α;82;+3,-3,-1,-1,+0;0,0,0;蠻顎龍之鬥志,砲術,2
蠻顎龍護腿β;82;+3,-3,-1,-1,+0;0,0,1;蠻顎龍之鬥志,砲術,1
泥魚龍護腿α;82;-1,+2,-3,+0,+0;0,0,0;(無),集中,2
泥魚龍護腿β;82;-1,+2,-3,+0,+0;0,1,0;(無),集中,1
飛雷龍護腿α;82;+0,-3,+3,+0,+0;0,0,0;(無),雷耐性,2,體術,1
飛雷龍護腿β;82;+0,-3,+3,+0,+0;0,0,2;(無),雷耐性,1
浮空龍護腿α;82;-3,+2,+0,+1,+0;0,0,0;(無),風壓耐性,1,耐力急速回復,1
浮空龍護腿β;82;-3,+2,+0,+1,+0;0,0,2;(無),風壓耐性,1
