#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 101裝備
護石：
耐毒護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),毒耐性,3
攻擊護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),攻擊,3
防禦護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),防禦,3
耐痺護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),麻痺耐性,3
耐眠護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),睡眠耐性,3
耐絕護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),昏厥耐性,3
防風護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),風壓耐性,3
體力護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),體力增強,3
治癒護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),體力回復量UP,3
耐火護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),火耐性,3
耐水護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),水耐性,3
耐雷護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),雷耐性,3
火焰護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),火屬性攻擊強化,3
流水護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),水屬性攻擊強化,3
雷光護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),雷屬性攻擊強化,3
毒擊護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),毒屬性強化,3
痺擊護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),麻痺屬性強化,3
睡擊護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),睡眠屬性強化,3
KO護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),KO術,3
奪氣護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),奪取耐力,3
砲術護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),砲術,3
斷食護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),飢餓耐性,3
鐵壁護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),防禦性能,3
友愛護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),廣域化,3
持續護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),道具使用強化,3
快吃護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),快吃,3
加護護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),精靈加護,3
指示護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),指示隨從,3
植學護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),植生學,3
地學護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),地質學,3
投石護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),投射器裝填數UP,3
潛伏護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),潛伏,3
煙復護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),棉花孢子草的知識,3
沼渡護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),適應水場,3
昆蟲學護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),昆蟲標本達人,3
威嚇護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),威嚇,3
砲擊手護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),砲擊手,2
小胃口護石;0;+0,+0,+0,+0,+0;0,0,0;(無),滿足感,1
追蹤護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),追蹤達人,1
不屈護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),不屈,1
吹笛護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),吹笛名人,1
裝填護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),砲彈裝填數UP,1
耐裂護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),裂傷耐性,3
早復護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),回復速度,3
耐冰護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),冰耐性,3
耐屬護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),屬性異常狀態的耐性,3
冰結護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),冰屬性攻擊強化,3
達人護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),看破,3
迴避護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),迴避性能,3
納刀護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),收刀術,3
研磨護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),砥石使用高速化,3
耐爆護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),爆破異常狀態的耐性,3
耐龍護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),龍耐性,3
破龍護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),龍屬性攻擊強化,3
爆破護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),爆破屬性強化,3
拔刀護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),拔刀術技,2
特射護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),特殊射擊強化,2
強走護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),跑者,2
體術護石III;0;+0,+0,+0,+0,+0;0,0,0;(無),體術,3
早氣護石II;0;+0,+0,+0,+0,+0;0,0,0;(無),耐力急速回復,2
