#名稱;防禦力;火,水,雷,冰,龍;三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能,技能名稱1,數量,技能名稱2,數量,...
# 117裝備
身：
皮製服飾α;70;+2,+0,+0,+0,+0;0,0,0;(無),火耐性,1
皮製服飾β;70;+2,+0,+0,+0,+0;0,0,1;(無)
鎖甲服飾α;70;+0,+2,+0,+0,+0;0,0,0;(無),水耐性,1
鎖甲服飾β;70;+0,+2,+0,+0,+0;0,0,1;(無)
獵人鎧甲α;74;+2,+2,+0,+0,+0;0,0,0;(無),投射器裝填數UP,2
獵人鎧甲β;74;+2,+2,+0,+0,+0;0,0,1;(無),投射器裝填數UP,1
骨製鎧甲α;74;+2,+0,+2,+0,+2;0,0,0;(無),攻擊,2
骨製鎧甲β;74;+2,+0,+2,+0,+2;0,0,1;(無),攻擊,1
合金鎧甲α;74;-2,+0,-2,-2,+0;0,0,0;(無),水耐性,2
合金鎧甲β;74;-2,+0,-2,-2,+0;0,0,1;(無),水耐性,1
燕尾蝶上身α;80;-1,-1,+2,+0,+2;0,0,0;(無),收刀術,2,植生學,1
燕尾蝶上身β;80;-1,-1,+2,+0,+2;0,0,1;(無),收刀術,2
巨蜂鎧甲α;76;-2,+1,+1,+1,+2;0,0,0;(無),風壓耐性,2
巨蜂鎧甲β;76;-2,+1,+1,+1,+2;0,0,1;(無),風壓耐性,1
巨甲蟲鎧甲α;76;-1,-1,+0,+0,+2;0,0,0;(無),適應瘴氣環境,1,飢餓耐性,1
巨甲蟲鎧甲β;76;-1,-1,+0,+0,+2;0,0,1;(無),適應瘴氣環境,1
凶豺龍鎧甲α;78;-2,+2,-1,-1,+1;0,0,0;(無),威嚇,2
凶豺龍鎧甲β;78;-2,+2,-1,-1,+1;0,0,1;(無),威嚇,1
搔鳥鎧甲α;78;+0,-3,+0,+1,+0;0,0,0;(無),耐力急速回復,1,看破,1
搔鳥鎧甲β;78;+0,-3,+0,+1,+0;0,0,1;(無),耐力急速回復,1
眩鳥鎧甲α;78;+0,+0,-3,-2,+0;0,0,0;(無),體術,1,水屬性攻擊強化,2
眩鳥鎧甲β;78;+0,+0,-3,-2,+0;0,0,2;(無),體術,1
凶顎龍鎧甲α;78;+0,-3,+2,+0,+1;0,0,0;(無),麻痺耐性,2
凶顎龍鎧甲β;78;+0,-3,+2,+0,+1;0,0,1;(無),麻痺耐性,1
毒妖鳥鎧甲α;80;+0,+3,-3,+0,+1;0,0,0;(無),道具使用強化,1,植生學,1
毒妖鳥鎧甲β;80;+0,+3,-3,+0,+1;0,0,1;(無),道具使用強化,1
土砂龍鎧甲α;80;-3,-1,+3,-1,+0;0,0,0;(無),奪取耐力,2
土砂龍鎧甲β;80;-3,-1,+3,-1,+0;0,0,1;(無),奪取耐力,1
蠻顎龍鎧甲α;82;+3,-3,-1,-1,+0;0,0,0;蠻顎龍之鬥志,跑者,2,特殊射擊強化,1
蠻顎龍鎧甲β;82;+3,-3,-1,-1,+0;0,0,2;蠻顎龍之鬥志,跑者,1
泥魚龍鎧甲α;82;-1,+2,-3,+0,+0;0,0,0;(無),泥耐性,1,水屬性攻擊強化,1
泥魚龍鎧甲β;82;-1,+2,-3,+0,+0;0,0,1;(無),泥耐性,1
飛雷龍鎧甲α;82;+0,-3,+3,+0,+0;0,0,0;(無),跳躍鐵人,1,迴避距離UP,1
飛雷龍鎧甲β;82;+0,-3,+3,+0,+0;0,1,0;(無),跳躍鐵人,1
浮空龍鎧甲α;82;-3,+2,+0,+1,+0;0,0,0;(無),騎乘名人,1,砲術,1
浮空龍鎧甲β;82;-3,+2,+0,+1,+0;0,0,1;(無),騎乘名人,1
雌火龍鎧甲α;84;+2,+0,-2,+0,-3;0,0,0;(無),植生學,2,體力回復量UP,1
雌火龍鎧甲β;84;+2,+0,-2,+0,-3;0,0,1;(無),植生學,1,體力回復量UP,1
火龍心鎧甲α;84;+3,+0,-3,+0,-4;0,0,0;櫻火龍之奧祕,整備,2
火龍心鎧甲β;84;+3,+0,-3,+0,-4;0,0,2;櫻火龍之奧祕,整備,1
骨鎚龍鎧甲α;78;+0,+2,+0,-1,-2;0,0,0;(無),睡眠屬性強化,1,裂傷耐性,1
骨鎚龍鎧甲β;78;+0,+2,+0,-1,-2;0,0,1;(無),睡眠屬性強化,1
酸翼龍斗篷α;86;+1,+1,+0,+1,-2;0,0,0;(無),熱傷害無效,1,防禦力DOWN耐性,1
酸翼龍斗篷β;86;+1,+1,+0,+1,-2;0,0,1;(無),熱傷害無效,1
岩賊龍鎧甲α;86;+2,+0,-3,+0,+2;0,0,0;(無),爆破屬性強化,2
岩賊龍鎧甲β;86;+2,+0,-3,+0,+2;0,0,1;(無),爆破屬性強化,1
鑄島熔岩皮α;76;+4,-3,-1,-2,-3;0,0,0;熔山龍的奧祕,爆破屬性強化,2,風壓耐性,1
鑄島熔岩皮β;76;+4,-3,-1,-2,-3;0,1,0;熔山龍的奧祕,爆破屬性強化,2
礦石鎧甲α;82;+0,-1,-2,+3,+0;0,0,0;(無),耳塞,2,冰屬性攻擊強化,1
礦石鎧甲β;82;+0,-1,-2,+3,+0;0,1,0;(無),耳塞,1,冰屬性攻擊強化,1
鑄鐵鎧甲α;82;-2,+0,+3,-1,+0;0,0,0;(無),雷耐性,2
鑄鐵鎧甲β;82;-2,+0,+3,-1,+0;0,0,1;(無),雷耐性,1
旅團戰衣α;84;+1,+0,+2,+0,+2;0,1,0;(無),精靈加護,2
旅團戰衣β;84;+1,+0,+2,+0,+2;0,2,0;(無),精靈加護,1
熔岩龍鎧甲α;88;+3,-3,+1,-2,+2;0,0,0;(無),火屬性攻擊強化,2,熱傷害無效,1
熔岩龍鎧甲β;88;+3,-3,+1,-2,+2;0,0,2;(無),火屬性攻擊強化,1
風漂龍鎧甲α;86;-1,+2,-3,+3,+0;0,0,0;風漂龍的恩寵,迴避性能,2,精靈加護,1
風漂龍鎧甲β;86;-1,+2,-3,+3,+0;0,0,1;風漂龍的恩寵,迴避性能,2
慘爪龍鎧甲α;86;+2,+2,-2,-3,+0;0,0,0;慘爪龍的奧秘,砥石使用高速化,2,裂傷耐性,1
慘爪龍鎧甲β;86;+2,+2,-2,-3,+0;0,0,1;慘爪龍的奧秘,砥石使用高速化,2
火龍鎧甲α;86;+3,+1,-2,+1,-3;0,0,0;火龍奧秘,弱點特效,2,火屬性攻擊強化,1
火龍鎧甲β;86;+3,+1,-2,+1,-3;0,0,1;火龍奧秘,弱點特效,2
火龍魂鎧甲α;82;+3,+2,+2,-3,-4;0,0,1;火龍奧秘,屬性解放裝填擴充,1,威嚇,1
火龍魂鎧甲β;82;+3,+2,+2,-3,-4;0,1,0;火龍奧秘,屬性解放裝填擴充,1
角龍鎧甲α;86;+3,-2,+0,-3,+2;0,0,0;角龍之奧秘,KO術,2,火場怪力,1
角龍鎧甲β;86;+3,-2,+0,-3,+2;0,1,0;角龍之奧秘,KO術,2
暴君角龍鎧甲α;82;+2,-3,+0,-4,+2;0,0,1;角龍之奧秘,怨恨,2
暴君角龍鎧甲β;82;+2,-3,+0,-4,+2;0,1,1;角龍之奧秘,怨恨,1
爆鎚龍鎧甲α;86;+4,-3,+1,-2,-2;0,0,1;爆鎚龍之守護,破壞王,2
爆鎚龍鎧甲β;86;+4,-3,+1,-2,-2;1,0,0;爆鎚龍之守護,破壞王,1
爆鱗龍鎧甲α;84;+3,+1,-4,-2,-2;0,0,0;爆鱗龍之守護,防禦性能,2,爆破異常狀態的耐性,2
爆鱗龍鎧甲β;84;+3,+1,-4,-2,-2;0,0,2;爆鱗龍之守護,防禦性能,2
大馬士革鎧甲α;86;+4,-2,+0,+0,+0;0,0,1;(無),集中,2,防禦,2
大馬士革鎧甲β;86;+4,-2,+0,+0,+0;0,0,3;(無),集中,2
杜賓鎧甲α;86;-2,+0,-1,-1,+4;0,0,1;(無),攻擊,2,最愛菇類,1
杜賓鎧甲β;86;-2,+0,-1,-1,+4;1,0,0;(無),攻擊,2
死神肌肉α;88;+3,+2,-2,+3,-4;0,0,0;(無),不屈,1,屬性解放裝填擴充,1
死神肌肉β;88;+3,+2,-2,+3,-4;1,0,0;(無),不屈,1
戰紋鎧甲α;84;+1,+1,-3,+1,-3;0,0,1;滅盡龍之飢餓,耐力急速回復,2,挑戰者,1
戰紋鎧甲β;84;+1,+1,-3,+1,-3;0,1,1;滅盡龍之飢餓,耐力急速回復,2
帝王鎧甲α;84;+3,-3,+1,-3,+1;0,0,0;炎王龍之武技,特殊射擊強化,2,力量解放,1
帝王鎧甲β;84;+3,-3,+1,-3,+1;0,0,2;炎王龍之武技,特殊射擊強化,2
鋼龍恐懼α;84;+0,+2,-3,+4,-2;0,0,0;鋼龍的飛翔,匠,2,集中,1
鋼龍恐懼β;84;+0,+2,-3,+4,-2;0,1,0;鋼龍的飛翔,匠,2
烏爾德鎧甲α;84;-4,+4,+1,-1,-3;0,0,1;屍套龍之命脈,回復速度,2,龍屬性攻擊強化,1
烏爾德鎧甲β;84;-4,+4,+1,-1,-3;0,0,2;屍套龍之命脈,回復速度,2
麒麟服飾α;84;-3,-2,+4,-2,+2;0,0,0;麒麟的恩寵,精靈加護,2,雷屬性攻擊強化,1
麒麟服飾β;84;-3,-2,+4,-2,+2;0,0,1;麒麟的恩寵,精靈加護,2
冥燈幽火皮α;92;-3,+2,+2,+2,-4;0,0,1;冥燈龍的神秘,強化持續,2,屬性異常狀態的耐性,1
冥燈幽火皮β;92;-3,+2,+2,+2,-4;0,0,2;冥燈龍的神秘,強化持續,2
公會十字戰衣α;82;+0,+0,+0,+0,+0;0,0,1;公會的指引,死裡逃生,1,冰耐性,2
公會十字戰衣β;82;+0,+0,+0,+0,+0;1,0,0;公會的指引,死裡逃生,1
追蹤者服飾α;90;+2,+2,+2,+2,+2;0,0,0;調查團的指引,廣域化,2,攀岩者,1
追蹤者服飾β;90;+2,+2,+2,+2,+2;0,0,1;調查團的指引,廣域化,2
殘虐鎧甲α;84;+1,+1,-3,+2,-3;0,1,0;(無),快吃,1,匠,1
殘虐鎧甲β;84;+1,+1,-3,+2,-3;1,0,0;(無),快吃,1
絢輝龍鎧羅鎧甲α;92;+4,-2,+3,-4,-2;0,0,1;(無),昏厥耐性,2,超會心,2
絢輝龍鎧羅鎧甲β;92;+4,-2,+3,-4,-2;1,0,1;(無),昏厥耐性,2,超會心,1
皇后鎧甲α;90;+3,+1,+1,-3,-2;0,0,2;炎妃龍的恩寵,無傷,2,體力增強,1
