#名稱;防禦力;火,水,雷,冰,龍;四級鑲嵌槽,三級鑲嵌槽,二級鑲嵌槽,一級鑲嵌槽;系列技能;技能名稱1,數量,技能名稱2,數量,...
# 131 裝備
頭：
爆碎羽飾;76;+0,+0,+0,+0,+0;0,0,0,0;(無);炸彈客,3
防衛隊頭盔α;82;+2,+0,+0,+2,+3;0,0,0,1;(無);體力回復量UP,2,體力增強,1
皮製頭飾α;70;+2,+0,+0,+0,+0;0,0,0,0;(無);飢餓耐性,2
皮製頭飾β;70;+2,+0,+0,+0,+0;0,0,0,1;(無);飢餓耐性,1
鎖甲頭飾α;70;+0,+2,+0,+0,+0;0,0,0,0;(無);採集達人,1,防禦性能,1
鎖甲頭飾β;70;+0,+2,+0,+0,+0;0,0,0,1;(無);採集達人,1
獵人頭盔α;74;+2,+2,+0,+0,+0;0,0,0,0;(無);導蟲反應距離UP,1,研究者,1
獵人頭盔β;74;+2,+2,+0,+0,+0;0,0,0,1;(無);導蟲反應距離UP,1
骨製頭盔α;74;+2,+0,+2,+0,+2;0,0,0,0;(無);體力增強,1,昆蟲標本達人,1
骨製頭盔β;74;+2,+0,+2,+0,+2;0,0,0,1;(無);體力增強,1
合金頭飾α;74;-2,+0,-2,-2,+0;0,0,0,0;(無);風壓耐性,1,防禦,1
合金頭飾β;74;-2,+0,-2,-2,+0;0,0,0,1;(無);飢餓耐性,1
燕尾蝶護頭α;80;-1,-1,+2,+0,+2;0,0,0,0;(無);迴避性能,2,植生學,1
燕尾蝶護頭β;80;-1,-1,+2,+0,+2;0,0,0,1;(無);迴避性能,2
巨蜂頭盔α;76;-2,+1,+1,+1,+2;0,0,0,0;(無);收刀術,1,麻痺屬性強化,1
巨蜂頭盔β;76;-2,+1,+1,+1,+2;0,0,0,1;(無);收刀術,1
巨甲蟲頭盔α;76;-1,-1,+0,+0,+2;0,0,0,0;(無);異臭名人,1,龍屬性攻擊強化,1
巨甲蟲頭盔β;76;-1,-1,+0,+0,+2;0,0,0,1;(無);異臭名人,1
菌豬頭套α;78;+2,+2,+2,+2,+2;0,0,0,0;(無);最愛菇類,2
貓蜥龍護目鏡α;78;+2,+2,+0,-3,+0;0,0,0,0;(無);察覺,1,地質學,1
